day	hour	value
1	1	31
1	2	20
1	3	24
1	4	24
1	5	25
1	6	23
1	7	26
1	8	18
1	9	22
2	1	20
2	2	31
2	3	21
2	4	23
2	5	24
2	6	18
2	7	22
2	8	20
2	9	21
3	1	24
3	2	21
3	3	31
3	4	23
3	5	24
3	6	24
3	7	25
3	8	21
3	9	25
4	1	24
4	2	23
4	3	23
4	4	31
4	5	25
4	6	25
4	7	25
4	8	24
4	9	26
5	1	25
5	2	24
5	3	24
5	4	25
5	5	31
5	6	22
5	7	26
5	8	20
5	9	25
6	1	23
6	2	18
6	3	24
6	4	25
6	5	22
6	6	31
6	7	24
6	8	20
6	9	24
7	1	26
7	2	22
7	3	25
7	4	25
7	5	26
7	6	24
7	7	31
7	8	21
7	9	23
8	1	18
8	2	20
8	3	21
8	4	24
8	5	20
8	6	20
8	7	21
8	8	31
8	9	25
9	1	22
9	2	21
9	3	25
9	4	26
9	5	25
9	6	24
9	7	23
9	8	25
9	9	31
